City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
579,tari,12.4086,4.4914,18.43,18,10,5.92,NG,1706411902
580,shihezi,44.3,86.0333,-21.18,100,88,0.3,CN,1706411903
581,isla mujeres,21.2311,-86.731,26.03,85,0,2.74,MX,1706411903
582,cacoal,-11.4386,-61.4472,23.28,95,62,1.65,BR,1706411903
583,alamogordo,32.8995,-105.9603,6.0,73,0,0.0,US,1706411904
584,el alto,-4.2714,-81.2147,22.17,84,21,3.94,PE,1706411904
585,nyala,12.05,24.8833,15.22,22,100,7.85,SD,1706411904
586,oriximina,-1.7656,-55.8661,24.84,87,80,0.14,BR,1706411905
587,chirala,15.8167,80.35,23.11,80,48,2.39,IN,1706411905
588,gufeng,26.9083,118.9819,8.27,63,96,0.97,CN,1706411905
589,jieshi,22.8134,115.8257,13.53,74,98,3.89,CN,1706411798
